feature,mean_importance
feature_14078,-0.0063555761973780435
feature_18620,-0.00629216426909146
feature_20619,-0.00545972631407865
feature_4050,-0.0053677755566925115
feature_5166,-0.0034769786678908398
feature_5480,-0.0026836795857741015
feature_7497,-0.002567742544647722
feature_21461,-0.0023863803702517616
feature_19345,-0.002095560436714006
feature_2669,-0.0020473302292100095
feature_18911,-0.0020457604028727094
feature_5754,-0.0018596772192746801
feature_12614,-0.0018040160969728714
feature_7683,-0.0016840460426625014
feature_13360,-0.0016248189749331176
feature_4710,-0.0016092736313425226
feature_19417,-0.0016072903471199495
feature_23822,-0.0015712291754021556
feature_15062,-0.0015440594310859757
feature_13882,-0.0015362297843463212
feature_17980,-0.0015323096846970973
feature_1533,-0.0015135081842416632
feature_4598,-0.0014245602705632687
feature_6314,-0.0013949370726802468
feature_3963,-0.0013509823054225656
feature_21953,-0.0013385934670051558
feature_1523,-0.0012983132277009867
feature_7880,-0.0012941252724567032
feature_13259,-0.001276976686767539
feature_14021,-0.0012392176411061828
feature_8902,-0.0012237078743877472
feature_5551,-0.0012142890437512378
feature_17168,-0.0012080488897799001
feature_12419,-0.001201206876607852
feature_13969,-0.001193768243020088
feature_12075,-0.0011544567728893561
feature_20531,-0.0011515942019012181
feature_8139,-0.0011135540975728108
feature_12596,-0.0011017247269396123
feature_18683,-0.0010911988241847138
feature_9204,-0.0010816300595614336
feature_22811,-0.001077469656669472
feature_7777,-0.0010729592735781112
feature_20106,-0.0010695421344295909
feature_3679,-0.0010482761830880928
feature_15984,-0.0010346950111710274
feature_1765,-0.0010265531301862363
feature_23499,-0.0010079894555454771
feature_5779,-0.000995926591484253
feature_5087,-0.000980593166933308
feature_9305,-0.0009775787027923033
feature_9463,-0.0009757863530032607
feature_9815,-0.0009652017173744087
feature_6506,-0.0009527490034648145
feature_10497,-0.0009370930431565671
feature_1705,-0.0009266517874279567
feature_15933,-0.0008829462713631053
feature_8991,-0.0008683570541817897
feature_4143,-0.0008656102898808915
feature_6486,-0.0008458850990545775
feature_13269,-0.000836944305361198
feature_5104,-0.0008267009878344944
feature_16323,-0.0008249605931491599
feature_11683,-0.0008238473129196455
feature_15566,-0.0008136915020549917
feature_5782,-0.000804696942196681
feature_3167,-0.0008012505478079968
feature_9860,-0.0007957653829542832
feature_14694,-0.0007925810915102805
feature_273,-0.0007687672944509449
feature_12619,-0.000768656825487235
feature_18742,-0.0007660890606805637
feature_20838,-0.0007529262461806518
feature_6795,-0.0007525153587522703
feature_8114,-0.0007378218965481409
feature_11336,-0.0007227417995265051
feature_8302,-0.0007194261583668316
feature_16544,-0.0007182377745705515
feature_19782,-0.0007147426116043465
feature_10102,-0.0007143102484441832
feature_748,-0.0006959477763979871
feature_4036,-0.0006950109792398628
feature_5290,-0.0006943822157257417
feature_18115,-0.0006643592676662368
feature_455,-0.0006526616985748634
feature_8685,-0.000641263642866996
feature_9273,-0.0006383746123538092
feature_4572,-0.0006330026669610245
feature_9219,-0.0006189379512674398
feature_10879,-0.0006160304328770461
feature_6155,-0.0006138749561266366
feature_22251,-0.0006112185856005259
feature_18615,-0.0006000311599453356
feature_718,-0.0005985982455450455
feature_10485,-0.0005981515925966962
feature_19125,-0.000586681948950496
feature_23968,-0.000586154655317872
feature_9053,-0.0005842399809591781
feature_13309,-0.0005771416742537672
feature_12939,-0.0005743823167829731
feature_22198,-0.0005707190381238237
feature_15526,-0.0005674459484307226
feature_9519,-0.0005633687464490222
feature_15119,-0.0005572633354262834
feature_4325,-0.0005532467062409286
feature_20,-0.0005508803140382823
feature_12208,-0.0005498172369814647
feature_22348,-0.0005465761751135445
feature_3730,-0.0005411298556389999
feature_18725,-0.0005406454881433653
feature_7679,-0.0005393776209781209
feature_8743,-0.0005375738905878058
feature_521,-0.0005368680142116111
feature_762,-0.0005366784693430548
feature_16640,-0.0005302817940045168
feature_9140,-0.0005229726131934953
feature_18130,-0.000516551380525565
feature_8782,-0.0005153217309056823
feature_7431,-0.0005134885744957241
feature_12802,-0.0005131188565959954
feature_7069,-0.0005130110867222814
feature_5564,-0.0005095319215592476
feature_178,-0.0005074296688104996
