feature,mean_importance
feature_3295,-0.014330512311047039
feature_7497,-0.013843875857595955
feature_15920,-0.011144057700099085
feature_8782,-0.010899682458131433
feature_806,-0.010890565366871208
feature_17245,-0.01078683437137643
feature_18911,-0.01011329647026884
feature_13259,-0.008325331552045146
feature_24124,-0.008151742735217803
feature_7777,-0.007567094282913611
feature_23216,-0.005531579186394686
feature_18115,-0.0052914211513934275
feature_7379,-0.0051240848033935246
feature_3509,-0.005065095557367227
feature_607,-0.00397240999485291
feature_20619,-0.003762961203251103
feature_6415,-0.003615859384395037
feature_17847,-0.0035393942421040768
feature_18808,-0.002896011724110692
feature_14034,-0.0027933576767984027
feature_12075,-0.0027215790827622268
feature_19417,-0.0026550049996705073
feature_12763,-0.0024930286503613173
feature_2115,-0.002437846667679189
feature_4572,-0.0024213792978525772
feature_3434,-0.0024144659201625783
feature_18504,-0.002361436571930153
feature_8112,-0.0022351468196964985
feature_4442,-0.002190117038065531
feature_3840,-0.0021778913654663555
feature_9859,-0.002173635943773222
feature_5493,-0.0021660058009771222
feature_20017,-0.002110752742370758
feature_21585,-0.0020783043665543845
feature_11744,-0.0020231083626306655
feature_3440,-0.0020081970680317696
feature_14689,-0.001943164343057835
feature_774,-0.0018957454125464012
feature_5166,-0.0018238912461782774
feature_12134,-0.0018195794921943564
feature_11896,-0.0017774969617007975
feature_525,-0.0017745493441803984
feature_1103,-0.0017476383007074103
feature_13360,-0.001729225009483759
feature_3617,-0.001613742281823627
feature_15093,-0.001605230303737004
feature_23536,-0.0015722863416811172
feature_3636,-0.001570170744208421
feature_19017,-0.0014741019911521213
feature_23982,-0.001375439560624092
feature_13747,-0.0013568403377214543
feature_4372,-0.0013306785547668066
feature_11224,-0.0013285636060138106
feature_11195,-0.0013017911347365852
feature_5357,-0.0012837942471604525
feature_17393,-0.0012697859205012874
feature_10861,-0.001222943220092021
feature_7785,-0.001215762825075495
feature_3697,-0.0012140700664045267
feature_7330,-0.0012076048211012713
feature_6314,-0.0011960263595353071
feature_13523,-0.0011915335791815806
feature_1,-0.0011890523909724449
feature_14174,-0.001114558897266371
feature_21957,-0.0010613366309326633
feature_3475,-0.0010365630577797713
feature_8536,-0.001022120802596449
feature_13770,-0.0010111920122268581
feature_3624,-0.0009834760235521323
