feature,mean_importance
feature_20619,-0.006910319072253657
feature_18620,-0.006209558703418006
feature_3963,-0.005835454124788919
feature_7497,-0.004118676146367473
feature_8112,-0.0031373151141187773
feature_14078,-0.002785962940187836
feature_19345,-0.002676954017789035
feature_4050,-0.0026389531452320593
feature_5166,-0.0023246426476530857
feature_5087,-0.0022411371996024386
feature_18469,-0.002232928581459459
feature_12419,-0.002130422438994939
feature_18115,-0.0020802901240973724
feature_24124,-0.0020104672455189656
feature_20106,-0.0019748964214273967
feature_4763,-0.001567115536440844
feature_10194,-0.0015309972475977206
feature_8596,-0.0015226601736430423
feature_4598,-0.0014944700975104363
feature_19417,-0.0014513760562608557
feature_20072,-0.0013799282154714598
feature_1523,-0.0013731035652082891
feature_14021,-0.001279798524314113
feature_12450,-0.0012648928149809225
feature_21461,-0.0012484359119984245
feature_12075,-0.0012237742079512226
feature_5480,-0.0012012565342795155
feature_17070,-0.0011918459680682393
feature_22811,-0.0011600070085762582
feature_20531,-0.00112599758242512
feature_6433,-0.0011219036799889116
feature_18766,-0.0011210181287812705
feature_8368,-0.0010787674532213298
feature_17245,-0.001068175111032088
feature_1765,-0.0010585441550482022
feature_8782,-0.0010501900381956752
feature_18911,-0.0010443202417165232
feature_13259,-0.001006159201426149
feature_15840,-0.0009988514851553166
feature_2669,-0.0009845813893887834
feature_7379,-0.000952013899627635
feature_14034,-0.0009513388805373557
feature_7409,-0.0009432662979398043
feature_6506,-0.0009221075128997725
feature_13882,-0.0009098220974127269
feature_8902,-0.0008464642755520391
feature_17326,-0.0008414176977282861
feature_15257,-0.0008342591427950796
feature_23216,-0.0008258622866893828
feature_3024,-0.0008155517792779565
feature_5564,-0.0008087961960559608
feature_607,-0.0007900679609121996
feature_21961,-0.0007837243369164138
feature_23249,-0.000768796978443731
feature_20670,-0.000765584837500477
feature_13121,-0.0007473011116771455
feature_11336,-0.0007396224354881076
feature_11766,-0.0007315568702861763
feature_5653,-0.0007286016660508099
feature_15933,-0.0007224101996535226
feature_4710,-0.0007054702563280557
feature_7069,-0.0007035535645081636
feature_9293,-0.0006941607162339603
feature_7880,-0.0006834220907011801
feature_14400,-0.0006673103590982499
feature_23281,-0.0006671272596236566
feature_7679,-0.0006598134607206707
feature_14506,-0.0006582665980334635
feature_23415,-0.0006515833714707209
feature_15119,-0.0006013817287541356
feature_15566,-0.0005848769106207352
feature_21997,-0.0005834638281551396
feature_17498,-0.0005755628708121851
feature_17167,-0.0005747098026136266
feature_15557,-0.0005741294441527156
feature_9204,-0.0005712705460085953
feature_5551,-0.0005636643425834364
feature_23499,-0.000555467518759667
feature_10497,-0.0005530673868277547
feature_3715,-0.0005523928642984898
feature_21748,-0.0005447348408819219
feature_5880,-0.0005414488812862883
feature_9473,-0.0005369816961289797
feature_17980,-0.0005365433601730918
feature_21303,-0.000535504812276566
feature_9305,-0.0005149480332262369
feature_7157,-0.0005137280274560396
feature_924,-0.0005134506031879594
feature_12667,-0.0005115569097386863
feature_2130,-0.0005107669616999488
feature_16213,-0.0005096653474524815
feature_3140,-0.0005094360115211804
feature_9234,-0.0005088201015239879
feature_4143,-0.0005074573718899855
feature_2146,-0.0005029910508456247
feature_13605,-0.000501583927960858
feature_13483,-0.0004931914520136194
feature_8723,-0.0004920089791773385
feature_5171,-0.0004919386332713049
feature_9463,-0.0004903171567948838
feature_21532,-0.0004858441841142147
feature_6486,-0.00048369370939259636
feature_18123,-0.0004768351307959273
feature_18683,-0.0004750588603837924
feature_19171,-0.00047498728985321257
feature_3907,-0.0004714832731083196
feature_5904,-0.00046547756127000015
feature_13322,-0.0004608251633546723
feature_3862,-0.00046013523006709355
feature_21790,-0.00045414523256485093
feature_12668,-0.00045250924887907384
feature_12596,-0.0004524847352735839
feature_8060,-0.0004484244836458262
feature_12614,-0.00043863677229227793
feature_3303,-0.0004380546803877783
feature_16714,-0.00043246461591759375
feature_7288,-0.000427832727699573
feature_13233,-0.0004278193641958028
feature_19891,-0.000426015277330849
feature_6935,-0.0004251030102616959
feature_21139,-0.0004241878381396891
feature_22785,-0.0004170001070744389
feature_9338,-0.0004158063072547402
feature_16993,-0.0004116675272138659
feature_20,-0.0004112894216212415
feature_22515,-0.0004111475225774819
feature_19273,-0.00040899648898362617
feature_20832,-0.00040671319162555175
feature_7683,-0.00040478480683184823
feature_3285,-0.0004032663091736666
feature_8597,-0.0004019312221095417
feature_22533,-0.0004007558696351943
feature_781,-0.00039505342999622827
feature_3177,-0.0003827110956560853
feature_22193,-0.00038242798497056807
feature_21921,-0.00038016358530668093
feature_3505,-0.00038013718068667933
feature_14858,-0.0003798264368964577
feature_16163,-0.0003790844410057392
feature_19764,-0.00037728282154728674
feature_20017,-0.00037593758363086983
feature_14651,-0.00037512098172214347
feature_3756,-0.00037238162218610204
feature_4778,-0.00037219822858067795
feature_19428,-0.0003711106113459484
feature_3888,-0.00037054617813976344
feature_3508,-0.0003690256610718423
feature_20153,-0.0003673207194027861
feature_9408,-0.00036730989386025704
feature_14758,-0.0003664247428847633
feature_9661,-0.00036639732427592444
feature_10270,-0.00036355230614847355
feature_11885,-0.0003616057602364497
feature_14309,-0.0003608028118691653
feature_12639,-0.0003594675026440286
feature_1533,-0.0003579069939803503
feature_7019,-0.0003572454217045884
feature_18746,-0.00035495786473127566
feature_12208,-0.000349733885849568
feature_14174,-0.00034886974947864193
feature_3142,-0.00034864423756997276
feature_15261,-0.0003474279609281594
feature_2050,-0.00034708935138901833
feature_13981,-0.0003463640391737521
feature_3624,-0.0003461074799013697
feature_18504,-0.00034592718642625366
feature_11124,-0.00034581891006084663
feature_23849,-0.0003447173014242022
feature_7777,-0.00034353240478605105
feature_20122,-0.00034343581460219983
feature_19183,-0.00033983819913989687
feature_14468,-0.0003396441792643978
feature_14124,-0.0003381584256696435
feature_6678,-0.00033499039856821344
feature_3631,-0.00033113559837617547
feature_3764,-0.0003310210207942865
feature_7431,-0.00032966570313200936
feature_11771,-0.0003279491622267927
feature_10651,-0.00032768561838188994
feature_5707,-0.00032764692688417305
feature_24009,-0.0003270528110303261
feature_1705,-0.00032636040554779867
feature_17302,-0.0003250354429621849
feature_320,-0.00032467065498098524
feature_5552,-0.0003243696264425888
feature_18688,-0.00032337335124207336
feature_20838,-0.00032180818752785
feature_13695,-0.0003207514977342618
feature_22756,-0.000320529464096142
feature_1656,-0.00031993501469688155
feature_3115,-0.00031891455893281464
feature_20540,-0.0003181943919615793
feature_22819,-0.0003125233771784086
feature_6467,-0.00031239572068128
feature_2737,-0.00031185017045578525
feature_20497,-0.00030874951006446547
feature_1662,-0.0003076857283871526
feature_1798,-0.00030528210413249823
feature_2884,-0.00030465473803895635
feature_7734,-0.00030299076058603046
feature_6651,-0.0003019299609608894
feature_718,-0.0003010596700446788
feature_11230,-0.00030012571504318687
feature_2919,-0.00029866152653192926
feature_6446,-0.0002961412084816151
feature_6202,-0.00029370990296442303
feature_6410,-0.00029347116228504164
feature_6138,-0.0002892953934354514
feature_10710,-0.0002859654972276693
feature_1256,-0.0002851233636760875
feature_17065,-0.0002845427288135083
feature_11355,-0.0002827525241838935
feature_613,-0.00028202162856970635
feature_3193,-0.00028065802984355014
feature_8652,-0.00028050771869748693
feature_11243,-0.00027881956762652036
feature_1823,-0.00027717959684653293
feature_12982,-0.0002769638509623307
feature_2474,-0.0002748573519027242
feature_17115,-0.00027415026444732593
feature_4468,-0.00027373626708923073
feature_155,-0.0002715176109842732
feature_22836,-0.0002711305161095634
feature_15935,-0.00027002174537146264
feature_5254,-0.00026555819609586084
feature_16973,-0.000263765922625292
feature_22970,-0.0002631021560097091
feature_7034,-0.0002619890252057222
feature_21224,-0.00026086180542403967
feature_305,-0.0002605398121578228
feature_4329,-0.0002603330179657082
feature_10551,-0.00026032074603269393
feature_1487,-0.0002597815468184161
feature_2630,-0.0002591211545732164
feature_6710,-0.0002587193540128152
feature_21540,-0.0002585446858699436
feature_7924,-0.0002576532624647965
feature_4090,-0.0002519901965428728
feature_9621,-0.000250863922217337
feature_7027,-0.000248543878118479
feature_24248,-0.0002475501813611003
feature_18946,-0.00024462805930605127
feature_11191,-0.0002445767104844565
feature_7360,-0.00024238556937700162
feature_18076,-0.0002423776047222881
feature_4193,-0.00023774907711090476
feature_1783,-0.00023769986164166035
feature_10807,-0.00023753928846946825
feature_21230,-0.00023600165730627287
feature_2228,-0.00023502062135412062
feature_9140,-0.00023494499076280871
feature_13360,-0.000234442100138077
feature_18047,-0.0002335532716617128
feature_23022,-0.0002334322912555309
feature_11942,-0.00023332317800063286
feature_19782,-0.0002332386473499204
feature_2591,-0.0002320903678026842
feature_8789,-0.00022930216628836987
feature_22382,-0.00022833004610102182
feature_9809,-0.000227064358934026
feature_12115,-0.00022555705420571615
feature_3813,-0.00022502642676552886
feature_20820,-0.00022344497826066735
feature_5822,-0.00022303196991917406
feature_18051,-0.0002225293641666015
feature_19492,-0.00021868214660825114
feature_5016,-0.00021856380752682814
feature_1819,-0.0002185145125558341
feature_14720,-0.00021783077169915677
feature_4112,-0.00021732426608701562
feature_17847,-0.00021654738471827973
feature_22731,-0.00021473727778985595
feature_14441,-0.00021431058468525112
feature_22830,-0.0002134996825123747
feature_10989,-0.0002133886398755336
feature_10802,-0.0002130062604839389
feature_14236,-0.00021294078665315964
feature_21655,-0.0002127317444689081
feature_414,-0.0002109703835739607
feature_13890,-0.00020987557444518412
feature_6404,-0.00020553720820529753
feature_14273,-0.00020460732322802322
feature_3691,-0.00020458445310921335
feature_4740,-0.00020450206991368125
feature_15802,-0.00020386633395863551
feature_807,-0.0002025093494946173
feature_16840,-0.00020249727810920382
feature_18461,-0.000199816995074098
feature_10325,-0.00019834107989380456
feature_243,-0.0001980232292943973
feature_4345,-0.0001969696679688382
feature_17958,-0.00019611820516793888
feature_12519,-0.00019535733123728915
feature_21185,-0.00019495708944382572
feature_3728,-0.00019469004771749399
feature_3867,-0.0001939427188865417
feature_4134,-0.00019358655907442124
feature_2918,-0.0001932064125709232
feature_14853,-0.0001931519762486511
feature_104,-0.00019312085036529147
feature_10706,-0.0001930950435742762
feature_14754,-0.00019192340443150436
feature_24076,-0.0001882724261240254
feature_11388,-0.00018780155534156017
feature_23954,-0.000187113941766337
feature_23657,-0.00018660604048085228
feature_11424,-0.00018599421585443476
feature_16955,-0.00018573964683682442
feature_14975,-0.0001836509635623318
feature_2836,-0.00018327740354345812
feature_1393,-0.0001827552984456693
feature_23162,-0.00018238029990507164
feature_16881,-0.00018154812036196287
feature_3487,-0.00018038310118090317
feature_12164,-0.00017874898241758695
feature_21992,-0.0001783155493367161
feature_2870,-0.00017820481875338023
feature_669,-0.0001781081111139504
feature_7853,-0.00017744674694031293
feature_16150,-0.00017392755854037656
feature_18522,-0.00017265848107488323
feature_3117,-0.00017249424180801887
feature_17557,-0.00017127820615157053
feature_929,-0.00017093098131075734
feature_19150,-0.0001698450626455794
feature_4273,-0.00016966214875249185
feature_23445,-0.0001694255136045708
feature_11420,-0.0001692274553860784
feature_12611,-0.00016789526810843114
feature_24281,-0.0001675981688186723
feature_21454,-0.00016757840570640336
feature_19857,-0.0001675012681911281
feature_7997,-0.00016595436185972144
feature_16541,-0.00016538215395226486
feature_17403,-0.00016517610498126834
feature_19855,-0.0001651016829117502
feature_9989,-0.00016419841827730597
feature_9815,-0.00016361064942890246
feature_23709,-0.00016330868044024395
feature_22965,-0.00016309669569254394
feature_2670,-0.00016150978295744744
feature_4437,-0.00016031062471524304
feature_10991,-0.00016031039046313645
feature_10008,-0.000160108501247469
feature_8867,-0.00016002562966176414
feature_4514,-0.00015939915405394078
feature_5319,-0.000157533484311001
feature_20140,-0.0001568117059455254
feature_5611,-0.00015647963697048572
feature_15408,-0.00015602244534222985
feature_8088,-0.00015569379398492345
feature_12396,-0.0001553439133727741
feature_1986,-0.00015534237979185627
feature_22180,-0.00015391735271395036
feature_13834,-0.00015385758160333385
feature_3468,-0.0001534577217445543
feature_17345,-0.0001525810353864343
feature_14903,-0.00015172481396550364
feature_23029,-0.00015150770298750783
feature_9994,-0.00014958462181293707
feature_24184,-0.00014910878612871547
feature_8456,-0.00014863077325497632
feature_23381,-0.00014692868809729198
feature_20529,-0.00014689069197914016
feature_19518,-0.00014608741167498884
feature_16636,-0.00014505063406757834
feature_20931,-0.000144503208373703
feature_15379,-0.00014430509183905872
feature_3195,-0.00014345822946010278
feature_20431,-0.0001433569280783309
feature_9909,-0.0001428648509989361
feature_14591,-0.00014232677337384648
feature_20005,-0.00014216090902313683
feature_7892,-0.00014182758960795683
feature_23311,-0.00014094169518921173
feature_10741,-0.00014034133977008922
feature_15948,-0.0001403098282393711
feature_1995,-0.00013972084864850577
feature_19333,-0.00013945880948574852
feature_16811,-0.0001388146861620476
feature_13481,-0.0001387071639211479
feature_9147,-0.00013822068608057014
feature_748,-0.00013806575354784466
feature_10667,-0.00013716730937066713
feature_16058,-0.00013708800297095313
feature_1090,-0.00013630540308792182
feature_19689,-0.00013441272057119759
feature_22501,-0.00013139825695831497
feature_66,-0.00013084138361938447
feature_9921,-0.00013083882284966596
feature_7673,-0.00012981947816282925
feature_3476,-0.00012978869700557282
feature_17127,-0.00012952059997638487
feature_23514,-0.00012841301279846727
feature_10083,-0.00012813979827649424
feature_17413,-0.00012808161555936116
feature_10284,-0.00012757807463010807
feature_20579,-0.00012609322139924827
feature_1189,-0.0001255383490558315
feature_15176,-0.00012523052822083214
feature_19508,-0.00012465926206718382
feature_23094,-0.00012460531449600686
feature_1660,-0.000123772189212501
feature_4965,-0.0001229807689039908
feature_13451,-0.0001227460278903192
feature_6473,-0.00012214611101509786
feature_2478,-0.00012178145222789816
feature_13187,-0.00012107186001147907
feature_18020,-0.00011905289639557726
feature_14589,-0.00011904959351652922
feature_434,-0.00011876189373386526
feature_21471,-0.00011810558500611191
feature_3917,-0.00011810382226087323
feature_15120,-0.00011748457186609995
feature_12458,-0.00011743420007910288
feature_10370,-0.00011709274888020982
feature_5135,-0.00011649754496161347
feature_4855,-0.00011581001116857114
feature_2368,-0.00011535228860001245
feature_3992,-0.00011495020548865086
feature_22323,-0.0001137152999062252
feature_14637,-0.00011322496984187414
feature_19197,-0.00011297046010076972
feature_1342,-0.00011249513907689579
feature_15561,-0.000111985657389857
feature_23191,-0.00011119669333308213
feature_5271,-0.0001105287414056133
feature_4648,-0.00010894198772616326
feature_4534,-0.00010860186397010363
feature_14636,-0.0001084419556607985
feature_13640,-0.00010842624071960572
feature_21517,-0.00010841591349419755
feature_23243,-0.00010691005946688037
feature_5017,-0.00010686803057432525
feature_14666,-0.00010570647331845651
feature_4027,-0.00010539237710674998
feature_17830,-0.00010535012216813521
feature_6804,-0.00010534189056511378
feature_6380,-0.00010465648407440576
feature_13764,-0.00010357768735698158
feature_18833,-0.00010340260196103345
feature_5742,-0.000102715552620114
feature_21379,-0.00010252192027355722
feature_3692,-0.00010195835511933593
feature_16348,-0.00010180817059882719
feature_5020,-0.00010180535703762095
feature_6137,-0.0001012363195076138
feature_17953,-0.00010104420817564907
feature_9867,-0.0001005664375690829
feature_2328,-0.00010021730800656714
feature_8103,-0.0001000866795222155
feature_9996,-0.00010008142917796725
feature_15303,-9.979016387726692e-05
feature_5197,-9.912449051148186e-05
feature_360,-9.888585513199156e-05
feature_8091,-9.879843449471793e-05
feature_5472,-9.84630137912612e-05
feature_15778,-9.813282652337829e-05
feature_5138,-9.804545150878807e-05
feature_13199,-9.781554149684846e-05
feature_14962,-9.780389383785559e-05
feature_12657,-9.721848878752049e-05
feature_22062,-9.701974886895392e-05
feature_1153,-9.657492974827209e-05
feature_2516,-9.627772482925234e-05
feature_14009,-9.621900147042118e-05
feature_13770,-9.508635223769435e-05
feature_5938,-9.457084783991432e-05
feature_8299,-9.416501985152204e-05
feature_5819,-9.3821387292492e-05
feature_7133,-9.377917228923228e-05
feature_17875,-9.352482110677184e-05
feature_20082,-9.344065402085988e-05
feature_62,-9.298100699990375e-05
feature_23867,-9.274015431224303e-05
feature_13051,-9.267156066997684e-05
feature_19398,-9.244840240913987e-05
feature_11741,-9.206412738378411e-05
feature_11011,-9.192396669843728e-05
feature_19218,-9.097997272384805e-05
feature_3436,-9.077782121149624e-05
feature_7064,-9.05574718135238e-05
feature_8722,-9.004286292829677e-05
feature_19446,-9.004252384871014e-05
feature_1616,-8.973942301711002e-05
feature_21893,-8.95703623209232e-05
feature_12670,-8.944885773123356e-05
feature_14535,-8.942551333397386e-05
feature_5355,-8.913969627752927e-05
feature_18195,-8.883896648228528e-05
feature_9189,-8.88339018427997e-05
feature_16796,-8.854183815695248e-05
feature_18849,-8.789438088239177e-05
feature_22839,-8.752459080164643e-05
feature_21708,-8.71922548989712e-05
feature_7980,-8.697289995046598e-05
feature_13912,-8.663988893997665e-05
feature_8251,-8.640660972828452e-05
feature_22852,-8.633633721378819e-05
feature_22512,-8.601406710695425e-05
feature_3789,-8.562623217043264e-05
feature_7671,-8.546880409766588e-05
feature_10102,-8.535409938903449e-05
feature_5037,-8.502814526526459e-05
feature_18945,-8.478970525050977e-05
feature_848,-8.435217766425974e-05
feature_8740,-8.4258537828108e-05
feature_11268,-8.419693155407027e-05
feature_17174,-8.401294278970184e-05
feature_15005,-8.384760528676872e-05
feature_4009,-8.311037451418369e-05
feature_23126,-8.308823683168542e-05
feature_7502,-8.206076553738396e-05
feature_22138,-8.1794324633655e-05
feature_6061,-8.160215108370395e-05
feature_4919,-8.158823313378916e-05
feature_1021,-8.145113490409805e-05
feature_3199,-8.119189867428211e-05
feature_3708,-8.0991403934072e-05
feature_17250,-7.978140587088234e-05
feature_16889,-7.968231972397267e-05
feature_9166,-7.965557864967333e-05
feature_20021,-7.945386415979528e-05
feature_13630,-7.896376701467256e-05
feature_11382,-7.892488449254831e-05
feature_11173,-7.881348904992258e-05
feature_12983,-7.840444425850634e-05
feature_10839,-7.762449941687289e-05
feature_18662,-7.703540552467247e-05
feature_7292,-7.695943714138841e-05
feature_5447,-7.690706610162801e-05
feature_15942,-7.66811033774073e-05
feature_17865,-7.632236757022514e-05
feature_19475,-7.629366291967976e-05
feature_4220,-7.59290317896788e-05
feature_8276,-7.578423825730374e-05
feature_10189,-7.496709990415518e-05
feature_357,-7.37444269789167e-05
feature_7813,-7.371600078902585e-05
feature_343,-7.353829936703748e-05
feature_20949,-7.325007599380262e-05
feature_663,-7.291871982979536e-05
feature_17663,-7.281080317104172e-05
feature_12455,-7.214035436975408e-05
feature_9050,-7.19520039547561e-05
feature_23697,-7.189014835639052e-05
feature_18630,-7.18886737975044e-05
feature_10804,-7.173043969818104e-05
feature_21607,-7.145534302616108e-05
feature_15401,-7.126154716936561e-05
feature_20446,-7.112938794928692e-05
feature_12680,-7.094346326398382e-05
feature_2813,-7.043324255162631e-05
feature_9767,-6.95710886566725e-05
feature_5962,-6.949705206403811e-05
feature_4842,-6.916429862884322e-05
feature_6370,-6.908695406729893e-05
feature_1553,-6.824024922197358e-05
feature_19396,-6.821357454451782e-05
feature_23001,-6.815734728093936e-05
feature_621,-6.77615619660843e-05
feature_9924,-6.75184820800978e-05
feature_18148,-6.747168751056743e-05
feature_4656,-6.717433589941147e-05
feature_19671,-6.678532240718127e-05
feature_22451,-6.664313399006306e-05
feature_17645,-6.644628567682442e-05
feature_20034,-6.585711047918386e-05
feature_18216,-6.530965561662994e-05
feature_22622,-6.48121224391951e-05
feature_20959,-6.466219786741557e-05
