mrna,mirna,int_rate
ERBB2,hsa-miR-331-3p,0.423546126526264
TP53,hsa-miR-150-5p,0.58270914166979
TP53,hsa-miR-612,0.465407885633961
TP53,hsa-miR-652-3p,0.461298044249219
TP53,hsa-miR-1285-3p,0.434988581407115
TP53,hsa-miR-3922-5p,0.414334817565098
TP53,hsa-miR-6760-5p,0.413820559708966
TFRC,hsa-miR-7-5p,0.781353182368913
TFRC,hsa-miR-31-5p,0.774894109930387
TFRC,hsa-miR-141-3p,0.697984685451361
TFRC,hsa-miR-10a-5p,0.681634754556599
TFRC,hsa-miR-10b-5p,0.6773760816049
TFRC,hsa-miR-485-5p,0.650642819213637
TFRC,hsa-miR-583,0.564652066264531
MYB,hsa-miR-15b-5p,0.885870164464218
MYB,hsa-miR-150-5p,0.882483407351813
MYB,hsa-miR-195-5p,0.871948714287411
MYB,hsa-miR-15a-5p,0.864987263844411
SQLE,hsa-miR-877-3p,0.508182846504733
SQLE,hsa-miR-133a-3p,0.450852002006227
GGH,hsa-miR-2681-3p,0.230494039793777
GGH,hsa-miR-6805-3p,0.208951621885665
KRT8,hsa-miR-4776-5p,0.316866872234681
KRT8,hsa-miR-3620-5p,0.289931862243497
KRT8,hsa-miR-4649-5p,0.239045015537922
BBC3,hsa-miR-296-5p,0.609209035943898
BBC3,hsa-miR-665,0.557333530672585
BBC3,hsa-miR-149-5p,0.531816782734652
BBC3,hsa-miR-5787,0.468895345336265
STK32B,hsa-miR-423-5p,0.601936861848305
STK32B,hsa-miR-3127-5p,0.344289026495181
STK32B,hsa-miR-151a-5p,0.330723338418725
STK32B,hsa-miR-516b-3p,0.302651136860238
PITRM1,hsa-miR-770-5p,0.300360139710704
PITRM1,hsa-miR-4712-5p,0.258928542595159
NUSAP1,hsa-miR-4471,0.375138882961901
NUSAP1,hsa-miR-3679-5p,0.352219961146946
NUSAP1,hsa-miR-8059,0.314607602788662
GPR180,hsa-miR-92b-3p,0.824586739617386
GPR180,hsa-miR-32-5p,0.820157020476083
GPR180,hsa-miR-363-3p,0.816089914368433
GPR180,hsa-miR-92a-3p,0.815788289235802
GPR180,hsa-miR-25-3p,0.803002538048772
LPCAT1(AYTL2),hsa-miR-205-5p,0.744780197953881
LPCAT1(AYTL2),hsa-miR-361-5p,0.502155091971746
EGLN1,hsa-miR-520b-3p,0.730187079926388
EGLN1,hsa-miR-143-3p,0.665651299084526
EGLN1,hsa-miR-3128,0.650581759989273
LGP2(DHX58),hsa-miR-210-3p,0.318781363842787
LGP2(DHX58),hsa-miR-4313,0.249715748760247
LGP2(DHX58),hsa-miR-2114-3p,0.240442417987891
TGFB3,hsa-miR-875-5p,0.592901494284579
TGFB3,hsa-miR-3661,0.503015807740673
STK32B,hsa-miR-423-5p,0.601936861848305
STK32B,hsa-miR-3127-5p,0.344289026495181
QSOX2 (QSCN6L1),hsa-miR-127-5p,0.430504193988254
QSOX2 (QSCN6L1),hsa-miR-7110-3p,0.417152678238211
QSOX2 (QSCN6L1),hsa-miR-4724-5p,0.400843930943957
ORC6 (ORC6L),hsa-miR-4494,0.333133804210094
ORC6 (ORC6L),hsa-miR-1468-5p,0.32894803936818
ORC6 (ORC6L),hsa-miR-3184-3p,0.316957356412966
MMP9,hsa-miR-483-3p,0.337657516339844
OXCT1,hsa-miR-3929,0.455476255078706
OXCT1,hsa-miR-3925-5p,0.394022727383876
OXCT1,hsa-miR-4716-3p,0.369896958437373
OXCT1,hsa-miR-6847-5p,0.36502453766362
OXCT1,hsa-miR-4478,0.364320998561995
BRCA1,hsa-miR-132-3p,0.599141694511182
BRCA1,hsa-miR-212-3p,0.573995440661619
BRCA1,hsa-miR-125a-3p,0.569343019127481
BRCA1,hsa-miR-2113,0.433962159684863
BRCA1,hsa-miR-4446-3p,0.418658727268948
ITGA5,hsa-miR-148a-3p,0.798655388838599
ITGA5,hsa-miR-152-3p,0.790335178318828
ITGA5,hsa-miR-148b-3p,0.774280714565295
ITGA5,hsa-miR-25-3p,0.767284910890334
ITGA5,hsa-miR-32-5p,0.747312510764501
ALDH1A1,hsa-miR-17-3p,0.416463699762453
ALDH1A1,hsa-miR-7159-3p,0.246822373840449
GRB7,hsa-miR-193b-3p,0.673143153883792
GRB7,hsa-miR-193a-3p,0.662835246248514
MKI67,hsa-miR-4673,0.43387448857458
MKI68,hsa-miR-3614-5p,0.382537882813715
MKI69,hsa-miR-324-3p,0.368753201357483
AURKA,hsa-miR-3941,0.500162523059291
AURKA,hsa-miR-1226-5p,0.491421974751953
CCNB1,hsa-miR-548j-5p,0.637137940960917
CCNB1,hsa-miR-548a-5p,0.61412484103313
CCNB1,hsa-miR-548b-5p,0.606925131774428
CCNB1,hsa-miR-548c-5p,0.605040905622717
MYBL2,hsa-miR-423-5p,0.541380489141399
MMP11,hsa-miR-603,0.499666513232143
MMP11,hsa-miR-6894-5p,0.33578602738082
GRB2,hsa-miR-153-3p,0.740410147063876
GRB2,hsa-miR-141-3p,0.709157008480509
GRB2,hsa-miR-200a-3p,0.680925516281343
GRB2,hsa-miR-3934-5p,0.587447326828078
PGR,hsa-miR-3680-3p,0.654151148707463
PGR,hsa-miR-5583-3p,0.594679112444568
PGR,hsa-miR-302c-5p,0.570991778274358
PGR,hsa-miR-548at-5p,0.561310959913136
PGR,hsa-miR-302b-5p,0.544768910743122
BCL2,hsa-miR-448,0.76011908565051
BCL3,hsa-miR-181b-5p,0.706548942144613
BCL4,hsa-miR-34c-5p,0.689483100394111
BCL5,hsa-miR-646,0.639795233419509
BCL6,hsa-miR-204-5p,0.636105067026178
NMU,hsa-miR-1305,0.515979239707464
NMU,hsa-miR-1290,0.337743258252846
NMU,hsa-miR-7159-5p,0.293289729827348
ESM1,hsa-miR-22-5p,0.512201495365297
ESM1,hsa-miR-22-5p,0.425137160650058
